session_id,judge_score,length,AI_ratio,sum_semantic_score,prompt_code
999cd841f4514f24b8c9302e2a10ab6b,,5,0.2,3.8068,idea
b41709a2fbd241c19ab53c61a170c9d7,,11,0.8182,8.9017,progress
a7a170a160e049dcad4450a11b9bd076,,9,0.0,7.6659,progress
4bae9c4fdae94f78878c3fd9b8445b07,,6,0.3333,4.6059,progress
a2b37d0fe0094c7f8856fc1ac6cddcb3,,9,0.3333,5.6099,theory
4095e767e2d244b9a77d523a9f22f277,,16,0.5,12.5019,idea
6ce746e3539341158345ad78fdbba2b5,,10,0.5,8.3853,progress
acdd67745bad495d9f86a19cc2b7e9c6,,9,0.1111,7.2987,life
941ebf86564b445d93815ec10cf8c796,,9,0.3333,6.8954,idea
e1c9f72a89cb452489035a5a737c563c,,5,0.0,3.6302,theory
2a4fd1f013414b5a851cf7086fafba47,,13,0.2308,10.2555,progress
9bc7c17db0ad4f74874495531a0212b3,,6,0.0,4.4442,idea
a855d109d86a4d9aa17da60ae39755ed,,18,0.7778,13.1379,life
0e14dcddef4541c2b8a7520ebc10ae75,,5,0.2,3.7935,progress
a60130ad6f364cafba4d28027aba9448,,12,0.0833,10.1409,theory
785c4e6cac0042f683b96c1297000f18,,11,0.8182,9.3088,theory
fb933e65b85940ed9d7bd567f4f3744d,,5,0.4,3.5949,theory
2661c5a1cce14e28993880d48da80589,,8,0.375,6.2094,progress
1e960ee6bbbc4645bd351940e61d1a62,,9,0.1111,6.9725,idea
2d73e26ef431469ca86259827ceab2fb,,9,0.0,6.8241,theory
9a8931a092164d5fb5db678b19f4d570,,12,0.1667,10.0264,progress
ce3ca23373624c4980bd65bca0558427,,17,0.0,13.8805,life
fdf3c05e952143dda12f3baab5b8dae6,,13,0.0,9.4745,idea
0b4b1032e90c4246a0eebf393c1549c4,,10,0.5,7.8835,life
3bc396bac5724e60b1149a36f4694dcc,,16,0.0,12.1503,life
09222fd5ee2b4ec1a40e9b95f06f1bbe,,7,0.5714,5.4411,progress
646c1435b6014f37984be8ddb07f0128,,6,0.3333,4.7126,idea
70be44eb7dc448048b76eafbebeed6bc,,8,0.375,6.2584,theory
cfe3859d7f914121b95bc8bb13ff7b73,,13,0.7692,9.8145,idea
